"species","nacl","cnt","dish","day","n_germinated","n_seeds","germ_pct"
"Barley",150,"CNT-",4,3,22,25,88
"Barley",150,"CNT-",4,4,22,25,88
"Barley",200,"CNT+",1,0,0,25,0
"Barley",200,"CNT+",1,1,5,25,20
"Barley",200,"CNT+",1,2,11,25,44
"Barley",200,"CNT+",1,3,17,25,68
"Barley",200,"CNT+",1,4,17,25,68
"Barley",200,"CNT+",2,0,0,25,0
"Barley",200,"CNT+",2,1,6,25,24
"Barley",200,"CNT+",2,2,9,25,36
"Barley",200,"CNT+",2,3,15,25,60
"Barley",200,"CNT+",2,4,15,25,60
"Barley",200,"CNT+",3,0,0,25,0
"Barley",200,"CNT+",3,1,4,25,16
"Barley",200,"CNT+",3,2,10,25,40
"Barley",200,"CNT+",3,3,15,25,60
"Barley",200,"CNT+",3,4,17,25,68
"Barley",200,"CNT+",4,0,0,25,0
"Barley",200,"CNT+",4,1,4,25,16
"Barley",200,"CNT+",4,2,15,25,60
"Barley",200,"CNT+",4,3,15,25,60
"Barley",200,"CNT+",4,4,15,25,60
"Barley",200,"CNT-",1,0,0,25,0
"Barley",200,"CNT-",1,1,10,25,40
"Barley",200,"CNT-",1,2,14,25,56
"Barley",200,"CNT-",1,3,14,25,56
"Barley",200,"CNT-",1,4,16,25,64
"Barley",200,"CNT-",2,0,0,25,0
"Barley",200,"CNT-",2,1,13,25,52
"Barley",200,"CNT-",2,2,13,25,52
"Barley",200,"CNT-",2,3,15,25,60
"Barley",200,"CNT-",2,4,15,25,60
"Barley",200,"CNT-",3,0,0,25,0
"Barley",200,"CNT-",3,1,3,25,12
"Barley",200,"CNT-",3,2,12,25,48
"Barley",200,"CNT-",3,3,13,25,52
"Barley",200,"CNT-",3,4,13,25,52
"Barley",200,"CNT-",4,0,0,25,0
"Barley",200,"CNT-",4,1,5,25,20
"Barley",200,"CNT-",4,2,10,25,40
"Barley",200,"CNT-",4,3,12,25,48
"Barley",200,"CNT-",4,4,13,25,52
"Barley",300,"CNT+",1,0,0,25,0
"Barley",300,"CNT+",1,1,1,25,4
"Barley",300,"CNT+",1,2,2,25,8
"Barley",300,"CNT+",1,3,3,25,12
"Barley",300,"CNT+",1,4,4,25,16
"Barley",300,"CNT+",2,0,0,25,0
"Barley",300,"CNT+",2,1,0,25,0
"Barley",300,"CNT+",2,2,3,25,12
"Barley",300,"CNT+",2,3,3,25,12
"Barley",300,"CNT+",2,4,5,25,20
"Barley",300,"CNT+",3,0,0,25,0
"Barley",300,"CNT+",3,1,1,25,4
"Barley",300,"CNT+",3,2,2,25,8
"Barley",300,"CNT+",3,3,2,25,8
"Barley",300,"CNT+",3,4,3,25,12
"Barley",300,"CNT+",4,0,0,25,0
"Barley",300,"CNT+",4,1,0,25,0
"Barley",300,"CNT+",4,2,1,25,4
"Barley",300,"CNT+",4,3,1,25,4
"Barley",300,"CNT+",4,4,1,25,4
"Barley",300,"CNT-",1,0,0,25,0
"Barley",300,"CNT-",1,1,2,25,8
"Barley",300,"CNT-",1,2,2,25,8
"Barley",300,"CNT-",1,3,2,25,8
"Barley",300,"CNT-",1,4,2,25,8
"Barley",300,"CNT-",2,0,0,25,0
"Barley",300,"CNT-",2,1,2,25,8
"Barley",300,"CNT-",2,2,2,25,8
"Barley",300,"CNT-",2,3,2,25,8
"Barley",300,"CNT-",2,4,2,25,8
"Barley",300,"CNT-",3,0,0,25,0
"Barley",300,"CNT-",3,1,0,25,0
"Barley",300,"CNT-",3,2,2,25,8
"Barley",300,"CNT-",3,3,5,25,20
"Barley",300,"CNT-",3,4,5,25,20
"Barley",300,"CNT-",4,0,0,25,0
"Barley",300,"CNT-",4,1,0,25,0
"Barley",300,"CNT-",4,2,0,25,0
"Barley",300,"CNT-",4,3,1,25,4
"Barley",300,"CNT-",4,4,2,25,8
"Cowpea",0,"CNT+",1,0,0,25,0
"Cowpea",0,"CNT+",1,1,13,25,52
"Cowpea",0,"CNT+",1,2,24,25,96
"Cowpea",0,"CNT+",1,3,24,25,96
"Cowpea",0,"CNT+",1,4,25,25,100
"Cowpea",0,"CNT+",2,0,0,25,0
"Cowpea",0,"CNT+",2,1,13,25,52
"Cowpea",0,"CNT+",2,2,25,25,100
"Cowpea",0,"CNT+",2,3,25,25,100
"Cowpea",0,"CNT+",2,4,25,25,100
"Cowpea",0,"CNT+",3,0,0,25,0
"Cowpea",0,"CNT+",3,1,12,25,48
"Cowpea",0,"CNT+",3,2,23,25,92
"Cowpea",0,"CNT+",3,3,23,25,92
"Cowpea",0,"CNT+",3,4,25,25,100
"Cowpea",0,"CNT+",4,0,0,25,0
"Cowpea",0,"CNT+",4,1,10,25,40
"Cowpea",0,"CNT+",4,2,24,25,96
"Cowpea",0,"CNT+",4,3,25,25,100
"Cowpea",0,"CNT+",4,4,25,25,100
"Cowpea",0,"CNT-",1,0,0,25,0
"Cowpea",0,"CNT-",1,1,17,25,68
"Cowpea",0,"CNT-",1,2,25,25,100
"Cowpea",0,"CNT-",1,3,25,25,100
"Cowpea",0,"CNT-",1,4,25,25,100
"Cowpea",0,"CNT-",2,0,0,25,0
"Cowpea",0,"CNT-",2,1,9,25,36
"Cowpea",0,"CNT-",2,2,23,25,92
"Cowpea",0,"CNT-",2,3,24,25,96
"Cowpea",0,"CNT-",2,4,24,25,96
"Cowpea",0,"CNT-",3,0,0,25,0
"Cowpea",0,"CNT-",3,1,17,25,68
"Cowpea",0,"CNT-",3,2,25,25,100
"Cowpea",0,"CNT-",3,3,25,25,100
"Cowpea",0,"CNT-",3,4,25,25,100
"Cowpea",0,"CNT-",4,0,0,25,0
"Cowpea",0,"CNT-",4,1,12,25,48
"Cowpea",0,"CNT-",4,2,20,25,80
"Cowpea",0,"CNT-",4,3,25,25,100
"Cowpea",0,"CNT-",4,4,25,25,100
"Cowpea",50,"CNT+",1,0,0,25,0
"Cowpea",50,"CNT+",1,1,15,25,60
"Cowpea",50,"CNT+",1,2,25,25,100
"Cowpea",50,"CNT+",1,3,25,25,100
"Cowpea",50,"CNT+",1,4,25,25,100
"Cowpea",50,"CNT+",2,0,0,25,0
"Cowpea",50,"CNT+",2,1,17,25,68
"Cowpea",50,"CNT+",2,2,25,25,100
"Cowpea",50,"CNT+",2,3,25,25,100
"Cowpea",50,"CNT+",2,4,25,25,100
"Cowpea",50,"CNT+",3,0,0,25,0
"Cowpea",50,"CNT+",3,1,12,25,48
"Cowpea",50,"CNT+",3,2,24,25,96
"Cowpea",50,"CNT+",3,3,25,25,100
"Cowpea",50,"CNT+",3,4,25,25,100
"Cowpea",50,"CNT+",4,0,0,25,0
"Cowpea",50,"CNT+",4,1,13,25,52
"Cowpea",50,"CNT+",4,2,23,25,92
"Cowpea",50,"CNT+",4,3,23,25,92
"Cowpea",50,"CNT+",4,4,24,25,96
"Cowpea",50,"CNT-",1,0,0,25,0
"Cowpea",50,"CNT-",1,1,12,25,48
"Cowpea",50,"CNT-",1,2,25,25,100
"Cowpea",50,"CNT-",1,3,25,25,100
"Cowpea",50,"CNT-",1,4,25,25,100
"Cowpea",50,"CNT-",2,0,0,25,0
"Cowpea",50,"CNT-",2,1,15,25,60
"Cowpea",50,"CNT-",2,2,22,25,88
"Cowpea",50,"CNT-",2,3,25,25,100
"Cowpea",50,"CNT-",2,4,25,25,100
"Cowpea",50,"CNT-",3,0,0,25,0
"Cowpea",50,"CNT-",3,1,9,25,36
"Cowpea",50,"CNT-",3,2,21,25,84
"Cowpea",50,"CNT-",3,3,25,25,100
"Cowpea",50,"CNT-",3,4,25,25,100
"Cowpea",50,"CNT-",4,0,0,25,0
"Cowpea",50,"CNT-",4,1,10,25,40
"Cowpea",50,"CNT-",4,2,20,25,80
"Cowpea",50,"CNT-",4,3,25,25,100
"Cowpea",50,"CNT-",4,4,25,25,100
"Cowpea",100,"CNT+",1,0,0,25,0
"Cowpea",100,"CNT+",1,1,10,25,40
"Cowpea",100,"CNT+",1,2,23,25,92
"Cowpea",100,"CNT+",1,3,23,25,92
"Cowpea",100,"CNT+",1,4,24,25,96
"Cowpea",100,"CNT+",2,0,0,25,0
"Cowpea",100,"CNT+",2,1,16,25,64
"Cowpea",100,"CNT+",2,2,23,25,92
"Cowpea",100,"CNT+",2,3,24,25,96
"Cowpea",100,"CNT+",2,4,25,25,100
"Cowpea",100,"CNT+",3,0,0,25,0
"Cowpea",100,"CNT+",3,1,14,25,56
"Cowpea",100,"CNT+",3,2,25,25,100
"Cowpea",100,"CNT+",3,3,25,25,100
"Cowpea",100,"CNT+",3,4,25,25,100
"Cowpea",100,"CNT+",4,0,0,25,0
"Cowpea",100,"CNT+",4,1,12,25,48
"Cowpea",100,"CNT+",4,2,22,25,88
"Cowpea",100,"CNT+",4,3,23,25,92
"Cowpea",100,"CNT+",4,4,23,25,92
"Cowpea",100,"CNT-",1,0,0,25,0
"Cowpea",100,"CNT-",1,1,6,25,24
"Cowpea",100,"CNT-",1,2,19,25,76
"Cowpea",100,"CNT-",1,3,20,25,80
"Cowpea",100,"CNT-",1,4,23,25,92
"Cowpea",100,"CNT-",2,0,0,25,0
"Cowpea",100,"CNT-",2,1,13,25,52
"Cowpea",100,"CNT-",2,2,22,25,88
"Cowpea",100,"CNT-",2,3,24,25,96
"Cowpea",100,"CNT-",2,4,24,25,96
"Cowpea",100,"CNT-",3,0,0,25,0
"Cowpea",100,"CNT-",3,1,11,25,44
"Cowpea",100,"CNT-",3,2,21,25,84
"Cowpea",100,"CNT-",3,3,24,25,96
"Cowpea",100,"CNT-",3,4,25,25,100
"Cowpea",100,"CNT-",4,0,0,25,0
"Cowpea",100,"CNT-",4,1,10,25,40
"Cowpea",100,"CNT-",4,2,23,25,92
"Cowpea",100,"CNT-",4,3,24,25,96
"Cowpea",100,"CNT-",4,4,24,25,96
"Cowpea",150,"CNT+",1,0,0,25,0
"Cowpea",150,"CNT+",1,1,6,25,24
"Cowpea",150,"CNT+",1,2,19,25,76
"Cowpea",150,"CNT+",1,3,24,25,96
"Cowpea",150,"CNT+",1,4,24,25,96
"Cowpea",150,"CNT+",2,0,0,25,0
"Cowpea",150,"CNT+",2,1,8,25,32
"Cowpea",150,"CNT+",2,2,22,25,88
"Cowpea",150,"CNT+",2,3,25,25,100
"Cowpea",150,"CNT+",2,4,25,25,100
"Cowpea",150,"CNT+",3,0,0,25,0
"Cowpea",150,"CNT+",3,1,11,25,44
"Cowpea",150,"CNT+",3,2,21,25,84
"Cowpea",150,"CNT+",3,3,22,25,88
"Cowpea",150,"CNT+",3,4,22,25,88
"Cowpea",150,"CNT+",4,0,0,25,0
"Cowpea",150,"CNT+",4,1,11,25,44
"Cowpea",150,"CNT+",4,2,22,25,88
"Cowpea",150,"CNT+",4,3,24,25,96
"Cowpea",150,"CNT+",4,4,24,25,96
"Cowpea",150,"CNT-",1,0,0,25,0
"Cowpea",150,"CNT-",1,1,7,25,28
"Cowpea",150,"CNT-",1,2,19,25,76
"Cowpea",150,"CNT-",1,3,23,25,92
"Cowpea",150,"CNT-",1,4,24,25,96
"Cowpea",150,"CNT-",2,0,0,25,0
"Cowpea",150,"CNT-",2,1,10,25,40
"Cowpea",150,"CNT-",2,2,20,25,80
"Cowpea",150,"CNT-",2,3,23,25,92
"Cowpea",150,"CNT-",2,4,23,25,92
"Cowpea",150,"CNT-",3,0,0,25,0
"Cowpea",150,"CNT-",3,1,8,25,32
"Cowpea",150,"CNT-",3,2,18,25,72
"Cowpea",150,"CNT-",3,3,22,25,88
"Cowpea",150,"CNT-",3,4,25,25,100
"Cowpea",150,"CNT-",4,0,0,25,0
"Cowpea",150,"CNT-",4,1,4,25,16
"Cowpea",150,"CNT-",4,2,20,25,80
"Cowpea",150,"CNT-",4,3,23,25,92
"Cowpea",150,"CNT-",4,4,24,25,96
"Cowpea",200,"CNT+",1,0,0,25,0
"Cowpea",200,"CNT+",1,1,6,25,24
"Cowpea",200,"CNT+",1,2,13,25,52
"Cowpea",200,"CNT+",1,3,13,25,52
"Cowpea",200,"CNT+",1,4,13,25,52
"Cowpea",200,"CNT+",2,0,0,25,0
"Cowpea",200,"CNT+",2,1,8,25,32
"Cowpea",200,"CNT+",2,2,11,25,44
"Cowpea",200,"CNT+",2,3,17,25,68
"Cowpea",200,"CNT+",2,4,17,25,68
"Cowpea",200,"CNT+",3,0,0,25,0
"Cowpea",200,"CNT+",3,1,3,25,12
"Cowpea",200,"CNT+",3,2,8,25,32
"Cowpea",200,"CNT+",3,3,14,25,56
"Cowpea",200,"CNT+",3,4,14,25,56
"Cowpea",200,"CNT+",4,0,0,25,0
"Cowpea",200,"CNT+",4,1,6,25,24
"Cowpea",200,"CNT+",4,2,12,25,48
"Cowpea",200,"CNT+",4,3,12,25,48
"Cowpea",200,"CNT+",4,4,17,25,68
"Cowpea",200,"CNT-",1,0,0,25,0
"Cowpea",200,"CNT-",1,1,6,25,24
"Cowpea",200,"CNT-",1,2,7,25,28
"Cowpea",200,"CNT-",1,3,12,25,48
"Cowpea",200,"CNT-",1,4,13,25,52
"Cowpea",200,"CNT-",2,0,0,25,0
"Cowpea",200,"CNT-",2,1,6,25,24
"Cowpea",200,"CNT-",2,2,12,25,48
"Cowpea",200,"CNT-",2,3,13,25,52
"Cowpea",200,"CNT-",2,4,13,25,52
"Cowpea",200,"CNT-",3,0,0,25,0
"Cowpea",200,"CNT-",3,1,3,25,12
"Cowpea",200,"CNT-",3,2,5,25,20
"Cowpea",200,"CNT-",3,3,13,25,52
"Cowpea",200,"CNT-",3,4,14,25,56
"Cowpea",200,"CNT-",4,0,0,25,0
"Cowpea",200,"CNT-",4,1,3,25,12
"Cowpea",200,"CNT-",4,2,7,25,28
"Cowpea",200,"CNT-",4,3,13,25,52
"Cowpea",200,"CNT-",4,4,13,25,52
"Cowpea",300,"CNT+",1,0,0,25,0
"Cowpea",300,"CNT+",1,1,0,25,0
"Cowpea",300,"CNT+",1,2,3,25,12
"Cowpea",300,"CNT+",1,3,3,25,12
"Cowpea",300,"CNT+",1,4,4,25,16
"Cowpea",300,"CNT+",2,0,0,25,0
"Cowpea",300,"CNT+",2,1,1,25,4
"Cowpea",300,"CNT+",2,2,1,25,4
"Cowpea",300,"CNT+",2,3,1,25,4
"Cowpea",300,"CNT+",2,4,2,25,8
"Cowpea",300,"CNT+",3,0,0,25,0
"Cowpea",300,"CNT+",3,1,0,25,0
"Cowpea",300,"CNT+",3,2,0,25,0
"Cowpea",300,"CNT+",3,3,7,25,28
"Cowpea",300,"CNT+",3,4,7,25,28
"Cowpea",300,"CNT+",4,0,0,25,0
"Cowpea",300,"CNT+",4,1,2,25,8
"Cowpea",300,"CNT+",4,2,2,25,8
"Cowpea",300,"CNT+",4,3,2,25,8
"Cowpea",300,"CNT+",4,4,5,25,20
"Cowpea",300,"CNT-",1,0,0,25,0
"Cowpea",300,"CNT-",1,1,1,25,4
"Cowpea",300,"CNT-",1,2,3,25,12
"Cowpea",300,"CNT-",1,3,3,25,12
"Cowpea",300,"CNT-",1,4,3,25,12
"Cowpea",300,"CNT-",2,0,0,25,0
"Cowpea",300,"CNT-",2,1,0,25,0
"Cowpea",300,"CNT-",2,2,0,25,0
"Cowpea",300,"CNT-",2,3,0,25,0
"Cowpea",300,"CNT-",2,4,1,25,4
"Cowpea",300,"CNT-",3,0,0,25,0
"Cowpea",300,"CNT-",3,1,0,25,0
"Cowpea",300,"CNT-",3,2,0,25,0
"Cowpea",300,"CNT-",3,3,3,25,12
"Cowpea",300,"CNT-",3,4,3,25,12
"Cowpea",300,"CNT-",4,0,0,25,0
"Cowpea",300,"CNT-",4,1,0,25,0
"Cowpea",300,"CNT-",4,2,0,25,0
"Cowpea",300,"CNT-",4,3,0,25,0
"Cowpea",300,"CNT-",4,4,0,25,0
